Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
ABC News,"White House: North Korea has to make good on ""promises"" before meeting with Pres. Trump. https://t.co/fvPATsFbpt https://t.co/3Hlg9Qn8mb",Mon Mar 12 06:05:04 +0000 2018,0.4404,0.153,0.847,0.0,112
ABC News,Three USPS employees treated after coming in contact with a package containing unknown hazardous substance at mail-… https://t.co/YUkohhtNcE,Mon Mar 12 05:43:29 +0000 2018,0.0,0.0,1.0,0.0,113
ABC News,"BREAKING: All five passengers on board helicopter that crashed into NYC's East River have died, FDNY official confi… https://t.co/pXsKPfC2TY",Mon Mar 12 05:31:42 +0000 2018,-0.5574,0.0,0.833,0.167,114
ABC News,Cellphone video captures chaotic scene after suspected hit-and-run crash in South Florida. https://t.co/6ToR6GE9dS… https://t.co/2ySTCbyFKp,Mon Mar 12 05:17:18 +0000 2018,-0.7783,0.0,0.585,0.415,115
ABC News,While the president has in recent weeks suggested other politicians have not pushed for changing the minimum age ou… https://t.co/dwWD4SZHgY,Mon Mar 12 05:01:54 +0000 2018,0.0,0.0,1.0,0.0,116
ABC News,A San Francisco fertility clinic suffered a rare cryostorage malfunction on the same day as a hospital in Cleveland… https://t.co/DoYqPQYGFy,Mon Mar 12 04:40:05 +0000 2018,-0.4939,0.0,0.833,0.167,117
ABC News,"Actor Wendell Pierce, who played a Baltimore police detective on 'The Wire,' says the apartment complex he's develo… https://t.co/6GranOiljm",Mon Mar 12 04:13:29 +0000 2018,0.34,0.124,0.876,0.0,118
ABC News,Dramatic hoist cam footage shows California Highway Patrol Air Operations officers rescuing an injured hiker strand… https://t.co/LoumR1Ctoh,Mon Mar 12 04:09:00 +0000 2018,-0.4019,0.0,0.856,0.144,119
ABC News,Reports of 'explosive sounds' were heard during the eruption of Mount Shinmoedake that lit up the night sky in Japa… https://t.co/SlrRZDvYtN,Mon Mar 12 03:57:26 +0000 2018,0.0,0.0,1.0,0.0,120
ABC News,Former Confederate site at Baltimore park rededicated to abolitionist Harriet Tubman. https://t.co/cHRwE0TuSx https://t.co/bUjWe9eTJg,Mon Mar 12 03:41:05 +0000 2018,0.0,0.0,1.0,0.0,121
ABC News,US Steel bringing back 500 jobs in Illinois after President Trump's tariff announcement. https://t.co/HW4o8D46ZB https://t.co/VDyr2nfIz2,Mon Mar 12 03:24:06 +0000 2018,0.0,0.0,1.0,0.0,122
ABC News,Elizabeth Warren says she has no intention of running for president in 2020 - but the Massachusetts senator has ref… https://t.co/ZgIgCE9Piy,Mon Mar 12 03:07:15 +0000 2018,-0.1531,0.0,0.922,0.078,123
